crop,area_feddans,season,soil_type,region,seed_cost_egp,fertilizer_cost_egp,irrigation_cost_egp,labor_cost_egp,pesticide_cost_egp,profit_per_feddan_egp,price_egp_per_ton
Tomato,86,Winter,Loamy,Sinai,76849,14320,26538,13626,15744,36197,4818
Wheat,75,Winter,Sandy,Upper_Egypt,14015,3399,2356,0,9950,33372,18565
Sugarcane,101,Summer,Sandy,Upper_Egypt,20602,19208,73289,56972,4912,115038,2500
Potato,63,Winter,Sandy,North_Coast,0,23123,59878,33385,15522,39133,6249
Sugarcane,20,Nile,Loamy,Upper_Egypt,40396,31003,30262,35783,9675,120729,2500
Rice,350,Summer,Loamy,Delta,26905,12951,43200,8638,15650,83349,23557
Maize,175,Summer,Sandy,Delta,1698,10919,16435,30957,0,33766,12827
Cotton,122,Summer,Sandy,Delta,28435,19154,31624,2097,6702,12341,29384
Sugarcane,456,Summer,Loamy,NewLands,63829,3437,106981,0,26965,95005,2500
Cotton,22,Summer,Sandy,Upper_Egypt,11764,28106,19183,16646,10124,14399,27787
Fava Beans,100,Winter,Calcareous,NewLands,52701,22624,27810,32596,17667,17316,44546
Potato,90,Winter,Loamy,North_Coast,12100,40129,68393,66343,0,37985,6100
Maize,7,Summer,Loamy,NewLands,5295,3567,3100,3338,2040,26051,13024
Potato,93,Winter,Loamy,NewLands,54499,33851,0,12416,12059,36433,5807
Maize,111,Summer,Clay,NewLands,4382,5635,10932,22814,10393,24295,12627
Rice,399,Summer,Loamy,Delta,0,28003,14764,0,2733,75817,22759
Tomato,94,Nile,Sandy,Sinai,234,46297,31316,23498,700,19824,4267
Tomato,5,Nile,Loamy,Delta,20998,30526,0,7377,6538,27526,4066
Maize,150,Summer,Clay,NewLands,13374,0,12386,2115,7103,35313,12978
Potato,92,Nile,Sandy,Sinai,55751,18195,8793,37715,0,28156,6184
Wheat,164,Winter,Loamy,Delta,47526,0,7018,7171,0,23168,19296
Maize,2,Summer,Sandy,Delta,1755,1277,1060,1095,773,23608,13072
Rice,301,Summer,Loamy,Delta,35122,10181,35611,12607,16906,72782,23148
Tomato,3,Nile,Sandy,North_Coast,3947,3600,3932,4398,2648,19843,4385
Potato,73,Winter,Sandy,North_Coast,89480,38333,0,35961,2039,55136,4811
Wheat,15,Winter,Clay,Upper_Egypt,10701,28203,0,20895,0,34701,18398
Tomato,1,Summer,Sandy,Upper_Egypt,1425,1458,1243,1723,813,26120,4444
Maize,80,Summer,Sandy,Upper_Egypt,22932,14746,0,14864,13064,32031,13712
Wheat,1,Winter,Clay,Upper_Egypt,851,640,537,662,379,34676,18320
Potato,5,Winter,Loamy,Delta,9500,8280,6742,7273,3242,66543,6124
Fava Beans,90,Winter,Sandy,Delta,28660,5826,7333,3902,5019,26491,44496
Rice,5,Summer,Loamy,Delta,4281,3425,3604,3224,1886,72145,22329
Fava Beans,94,Winter,Clay,Sinai,9501,4872,7081,4922,3028,26053,44673
Cotton,15,Summer,Calcareous,Delta,16981,10573,8037,11650,6970,14881,30902
Wheat,137,Winter,Loamy,Upper_Egypt,19060,11753,4032,9185,6389,26099,18782
Tomato,68,Nile,Clay,Delta,9244,22513,0,0,21309,38536,4019
Sugarcane,365,Summer,Clay,NewLands,18735,7077,2991,0,10068,97484,2500
Maize,6,Summer,Calcareous,Delta,0,5453,0,20935,7962,33762,12631
Maize,3,Summer,Loamy,North_Coast,2573,2025,1449,1506,912,34211,13187
Maize,78,Summer,Loamy,Delta,10901,7887,0,0,3797,37243,13636
Potato,62,Winter,Sandy,Sinai,2095,40043,44701,62475,9188,33033,5360
Tomato,22,Nile,Clay,Upper_Egypt,88221,30053,70778,0,6956,34203,4169
Wheat,109,Winter,Calcareous,Delta,20702,9261,14933,0,9281,34213,18457
Tomato,88,Nile,Loamy,North_Coast,47449,21922,6029,86938,12474,26356,4197
Potato,81,Winter,Loamy,NewLands,26630,7491,5754,0,17527,55413,5028
Sugarcane,458,Nile,Sandy,Upper_Egypt,19547,6872,20629,4816,15752,101276,2500
Maize,10,Summer,Clay,NewLands,7410,4766,4594,5137,3349,27244,12726
Rice,187,Summer,Clay,Delta,4978,30596,335,21317,16585,79501,23272
Cotton,5,Summer,Loamy,Upper_Egypt,1123,24590,0,11685,6334,15536,28552
Rice,449,Summer,Loamy,Delta,16986,34908,2197,0,6803,74874,23890
Fava Beans,77,Winter,Loamy,Delta,27898,7740,12239,2234,6335,30701,44383
Maize,286,Summer,Loamy,North_Coast,1691,11994,11846,17320,9556,44758,12933
Cotton,97,Summer,Calcareous,Upper_Egypt,37703,13235,20697,11990,8815,15542,30988
Maize,169,Summer,Sandy,Upper_Egypt,3936,28675,6568,0,10009,38086,12679
Fava Beans,7,Winter,Clay,Sinai,3835,11594,8369,0,705,27857,44535
Wheat,59,Winter,Loamy,Upper_Egypt,42845,7266,6399,21951,12754,44301,19024
Potato,66,Nile,Sandy,Sinai,0,17533,4856,38064,16346,22099,4995
Cotton,136,Summer,Sandy,Upper_Egypt,945,10770,3357,5398,23481,15805,30104
Maize,100,Summer,Loamy,Upper_Egypt,52246,42108,31552,42222,25954,33990,13096
Tomato,33,Winter,Loamy,Upper_Egypt,0,40983,54493,0,19789,20601,4759
Wheat,127,Winter,Clay,Delta,36987,0,4051,21784,6958,21156,17829
Maize,7,Summer,Calcareous,Delta,5238,4318,2696,3307,2030,29940,12654
Sugarcane,486,Summer,Sandy,NewLands,52951,0,39524,0,0,95703,2500
Wheat,1,Winter,Calcareous,NewLands,909,662,503,569,377,32751,18550
Potato,3,Nile,Sandy,Delta,5465,4230,3918,5126,2020,50638,6093
Cotton,56,Summer,Sandy,Delta,0,8787,22490,27535,554,21272,30332
Rice,2,Summer,Clay,Delta,2132,1727,1642,1481,761,90676,22610
Sugarcane,2,Nile,Clay,Upper_Egypt,3669,4200,3422,4054,1242,103304,2500
Wheat,129,Winter,Loamy,Sinai,14097,20236,1085,14421,3698,30010,18548
Cotton,23,Summer,Sandy,Delta,3328,31930,7778,9825,12530,16648,28840
Tomato,88,Winter,Loamy,Delta,28412,18207,14996,0,0,42001,5234
Potato,27,Winter,Loamy,North_Coast,36437,57609,49236,49266,5637,38232,6225
Tomato,5,Nile,Loamy,Delta,6591,5471,6418,7205,3940,47932,3896
Sugarcane,20,Nile,Clay,Upper_Egypt,31409,31043,33019,37729,10448,107270,2500
Sugarcane,20,Nile,Clay,Upper_Egypt,30701,33591,28632,33156,9782,97007,2500
Sugarcane,5,Summer,Loamy,Upper_Egypt,9567,8736,7405,9993,2926,93190,2500
Maize,103,Summer,Clay,Delta,2450,7138,1020,0,9519,29711,13347
Maize,255,Summer,Sandy,Upper_Egypt,28200,1181,6246,12099,3757,29848,12794
Sugarcane,467,Nile,Loamy,Upper_Egypt,76392,6429,36166,62269,14044,105276,2500
Fava Beans,5,Winter,Clay,NewLands,2556,1464,1400,1945,1038,25626,44563
Tomato,2,Summer,Loamy,Delta,2983,2747,2884,3185,1679,41600,4777
Sugarcane,257,Nile,Clay,Upper_Egypt,14958,44636,32069,79722,0,96914,2500
Cotton,44,Summer,Clay,Delta,52079,37299,20002,40613,14769,20246,29500
Sugarcane,204,Summer,Clay,Upper_Egypt,17937,0,1202,115882,0,89349,2500
Potato,2,Winter,Clay,North_Coast,4559,2966,3072,3559,1298,50674,5419
Wheat,150,Winter,Calcareous,Upper_Egypt,0,25960,8283,20887,9986,29509,18027
Sugarcane,249,Summer,Clay,Upper_Egypt,31940,63480,1945,0,15097,110145,2500
Rice,3,Summer,Loamy,Delta,3155,2310,2574,1932,1288,75755,23196
Fava Beans,38,Winter,Loamy,Delta,0,11187,8140,7509,0,34600,44543
Tomato,7,Nile,Clay,North_Coast,0,16790,48499,56606,33825,42481,4779
Wheat,50,Winter,Loamy,Upper_Egypt,29290,26236,16392,22837,13041,29634,18416
Wheat,77,Winter,Loamy,Delta,13397,9469,9712,23193,1697,28657,19093
Fava Beans,30,Winter,Sandy,Upper_Egypt,6264,1231,5444,8569,1018,22996,44461
Wheat,181,Winter,Sandy,Delta,21566,35411,0,2784,1247,27129,19688
Potato,48,Winter,Loamy,Delta,48157,0,13505,0,3834,35505,6315
Sugarcane,11,Nile,Loamy,Upper_Egypt,22038,45135,17617,113445,0,106000,2500
Tomato,24,Winter,Sandy,Upper_Egypt,21027,21687,2479,38541,10765,30637,3949
Wheat,160,Winter,Clay,Delta,7945,2911,5880,12439,9546,26436,18637
Fava Beans,28,Nile,Clay,North_Coast,6851,5955,73,3746,10644,29993,44467
Rice,486,Summer,Clay,Delta,6613,32075,0,14833,6834,78169,23410
Wheat,27,Winter,Clay,Upper_Egypt,0,6649,31948,20122,0,31403,18633
Tomato,36,Winter,Sandy,North_Coast,87514,21371,1810,44820,8546,39338,4385
Potato,8,Summer,Clay,Delta,41361,26673,24153,0,13811,35844,5445
Wheat,57,Winter,Calcareous,Sinai,15435,10614,9192,14329,4944,40054,17699
Cotton,10,Summer,Sandy,Delta,36053,29974,2635,0,0,18464,29217
Fava Beans,98,Winter,Clay,Delta,5852,7885,14385,15022,0,26961,44630
Cotton,100,Summer,Sandy,Delta,25366,7683,5704,10407,439,18370,30146
Rice,144,Summer,Clay,Delta,33139,7594,49,35457,13423,80327,22285
Cotton,87,Summer,Clay,Delta,26373,3432,30362,21789,0,9889,30088
Sugarcane,3,Nile,Clay,NewLands,87368,24214,0,25815,0,112605,2500
Tomato,87,Nile,Loamy,Delta,53635,0,33399,0,30523,30640,4031
Fava Beans,42,Winter,Sandy,Delta,28292,0,5448,0,3828,26367,44524
Rice,15,Summer,Loamy,Delta,13568,11136,12701,7691,6217,85844,23034
Tomato,5,Summer,Sandy,Upper_Egypt,8103,6740,6360,7925,3536,31342,3917
Maize,178,Summer,Loamy,Delta,27259,19495,9591,15645,9594,31412,13123
Tomato,2,Summer,Calcareous,Sinai,11560,47689,0,33364,20891,48485,4663
Tomato,100,Summer,Loamy,Delta,98633,93485,114242,125736,57947,52715,4891
Fava Beans,54,Winter,Calcareous,Delta,10861,12722,3022,9239,0,23748,44660
Maize,179,Nile,Loamy,Upper_Egypt,11474,12820,0,14851,1976,35139,12638
Potato,20,Nile,Loamy,Sinai,36433,29520,20044,28362,11365,46211,5391
Wheat,24,Winter,Clay,Upper_Egypt,17843,22458,25022,0,0,40967,18652
Wheat,41,Winter,Calcareous,Sinai,41930,36495,5891,15111,9606,30067,18652
Sugarcane,275,Nile,Sandy,Upper_Egypt,13500,64877,0,79875,6764,94859,2500
Maize,30,Summer,Loamy,NewLands,21270,13473,12654,13438,8557,25665,14100
Fava Beans,10,Winter,Sandy,Delta,5203,3142,3289,3936,2088,21834,44587
Wheat,111,Nile,Loamy,Sinai,12260,19714,18302,16534,2494,30323,18944
Potato,6,Nile,Loamy,North_Coast,86385,53823,0,50772,10215,52835,6509
Maize,2,Summer,Calcareous,Upper_Egypt,1482,1217,856,1116,692,36750,13205
Potato,70,Nile,Loamy,North_Coast,31478,66758,3243,11486,8864,52530,5759
Tomato,7,Nile,Loamy,Upper_Egypt,10660,7209,9191,10834,4978,37941,4749
Potato,14,Nile,Sandy,Sinai,0,45763,6380,0,0,39820,5488
Cotton,78,Summer,Sandy,Upper_Egypt,16644,4378,415,12351,0,16926,29512
Maize,35,Summer,Clay,NewLands,15285,15393,0,15332,3115,35361,12887
Wheat,146,Winter,Sandy,Delta,30728,4204,34063,9531,1054,36286,18449
Sugarcane,55,Summer,Clay,Upper_Egypt,56938,57912,0,74537,16973,112158,2500
Wheat,50,Winter,Calcareous,Sinai,38101,24363,19469,25850,12705,19028,17533
Potato,85,Nile,Loamy,Delta,0,0,0,28876,25935,44875,6351
Rice,76,Summer,Loamy,Delta,1533,12613,17293,6020,11095,75497,22074
Maize,133,Summer,Clay,Delta,770,12466,4482,4213,9184,31210,12891
Tomato,15,Nile,Clay,North_Coast,21996,15803,16600,20505,10281,37355,4894
Rice,50,Summer,Clay,Delta,32392,30697,36383,28594,18978,77277,23037
Sugarcane,240,Nile,Clay,Upper_Egypt,64460,0,12192,62758,975,102293,2500
Tomato,70,Nile,Clay,Sinai,20588,1619,29206,52773,30160,40662,4104
Sugarcane,30,Nile,Clay,Upper_Egypt,57204,43981,42408,46950,12258,89210,2500
Maize,207,Summer,Sandy,Upper_Egypt,0,10870,13929,13817,2624,29492,12819
Maize,15,Summer,Loamy,Upper_Egypt,10964,7092,6952,7714,4472,34531,13084
Tomato,85,Nile,Loamy,Sinai,59386,18619,37962,5870,35121,35248,4437
Sugarcane,58,Summer,Clay,Upper_Egypt,49669,51874,62555,27741,18072,101572,2500
Wheat,17,Winter,Loamy,North_Coast,33740,0,0,6191,0,36263,19417
Cotton,67,Summer,Sandy,NewLands,40209,20643,14496,37812,0,12236,30736
Tomato,1,Nile,Clay,Delta,18319,10619,7504,21960,0,50453,3531
Cotton,3,Summer,Sandy,Delta,3873,2334,1980,2900,1877,10754,30107
Cotton,3,Summer,Sandy,NewLands,3956,2855,2231,2618,1687,6850,28914
Sugarcane,214,Summer,Sandy,NewLands,49307,61268,0,61012,18230,101550,2500
Sugarcane,385,Summer,Loamy,NewLands,58872,30662,0,66719,3143,95624,2500
Rice,264,Summer,Clay,North_Coast,26160,18173,6824,13075,13133,79127,22934
Potato,62,Winter,Sandy,North_Coast,8727,12330,44277,41397,2212,28794,6244
Rice,50,Summer,Clay,Delta,42173,30235,30511,27343,17402,85269,23497
Rice,370,Summer,Clay,Delta,0,21733,0,34200,2897,79380,22311
Sugarcane,3,Nile,Clay,Upper_Egypt,6986,5613,4367,5613,1501,118666,2500
Maize,163,Summer,Loamy,Delta,4347,13762,8252,7366,9275,36788,12890
Maize,190,Summer,Loamy,North_Coast,0,432,13435,4058,4111,46034,12840
Maize,264,Summer,Calcareous,Delta,15924,17740,26224,20995,5383,30189,13517
Sugarcane,396,Summer,Loamy,Upper_Egypt,8872,49419,0,55042,0,102977,2500
Fava Beans,51,Winter,Clay,North_Coast,14389,14113,5243,5921,7721,23792,44311
Potato,10,Winter,Loamy,Sinai,20869,13382,13611,14040,5365,26829,6488
Maize,132,Summer,Calcareous,NewLands,11989,27204,12635,1782,0,28774,13616
Sugarcane,20,Summer,Clay,Upper_Egypt,35467,36053,30997,39506,10219,98625,2500
Tomato,46,Nile,Sandy,Upper_Egypt,48868,20522,36386,9088,21480,57301,3752
Maize,203,Summer,Sandy,NewLands,7249,28392,10504,15166,0,33435,12888
Maize,271,Summer,Calcareous,Delta,0,15291,14090,15187,0,24078,13377
Maize,203,Summer,Clay,Delta,18252,27719,7901,4376,7117,41782,12825
Tomato,2,Nile,Loamy,Upper_Egypt,49812,35006,22510,22884,34801,40060,4611
Potato,7,Winter,Sandy,North_Coast,15520,10287,8143,10010,4877,19365,6403
Rice,410,Summer,Loamy,North_Coast,51958,0,2211,11639,16059,78321,22468
Sugarcane,10,Summer,Loamy,Upper_Egypt,18678,17497,13211,16474,5179,110604,2500
Potato,97,Winter,Loamy,Delta,21426,46523,15442,19904,19053,28128,4029
Tomato,10,Nile,Loamy,Sinai,14678,9581,10348,14413,8216,21591,3969
Potato,15,Nile,Loamy,Sinai,27965,22605,18865,21198,9546,24046,5796
Cotton,61,Summer,Sandy,Upper_Egypt,6776,24753,14844,20184,0,12712,28090
Maize,30,Summer,Sandy,Upper_Egypt,16116,15409,11645,14607,7860,22238,13480
Tomato,10,Winter,Loamy,Upper_Egypt,54708,0,12419,57472,0,31786,3791
Rice,170,Summer,Clay,Delta,1616,6290,27143,18945,8731,77482,22748
Fava Beans,91,Winter,Loamy,Delta,7874,4123,5659,1203,4741,30573,44521
Sugarcane,336,Summer,Loamy,Upper_Egypt,36572,30222,21406,22939,8682,111039,2500
Potato,30,Winter,Sandy,Sinai,58899,39362,30918,34819,14693,18591,5096
Rice,338,Summer,Clay,Delta,0,32390,35157,0,12750,80273,23668
Rice,452,Summer,Loamy,North_Coast,20446,0,0,31918,12282,87990,23006
Tomato,37,Nile,Calcareous,Upper_Egypt,59334,62049,83279,26724,38486,19200,3988
Tomato,79,Winter,Sandy,North_Coast,0,64908,71987,40445,37316,47063,4619
Cotton,12,Summer,Sandy,Delta,35396,8695,11673,22081,7624,17983,30124
Tomato,54,Summer,Loamy,Upper_Egypt,30606,35708,60845,20876,10018,53627,4155
Potato,29,Nile,Loamy,Sinai,14227,24929,30509,10985,11148,44062,5987
Wheat,10,Winter,Sandy,Sinai,8689,6755,4401,5518,3311,22103,18229
Maize,284,Summer,Clay,Delta,9965,15557,12712,8226,11161,29526,13055
Maize,100,Summer,Clay,Upper_Egypt,52091,45832,32083,44772,26923,42376,13208
Maize,78,Summer,Loamy,Upper_Egypt,1891,24255,12192,19009,6551,30508,13467
Maize,146,Summer,Clay,Upper_Egypt,12296,9691,5655,12901,10652,28381,12677
Fava Beans,81,Winter,Sandy,Delta,9326,6354,9096,10499,2052,23950,44822
Maize,3,Summer,Calcareous,Delta,2019,1826,1618,1397,1011,35527,12477
Maize,172,Summer,Clay,NewLands,11906,0,529,5941,2365,38362,12981
Wheat,61,Winter,Clay,Upper_Egypt,7786,5599,0,16822,8160,20866,18687
Sugarcane,52,Nile,Clay,Upper_Egypt,55414,0,19326,22292,19086,106625,2500
Maize,146,Summer,Clay,Delta,0,9146,8584,8246,3559,25781,12849
Maize,26,Summer,Sandy,Delta,0,1360,7909,21934,9784,20341,12965
Cotton,131,Summer,Sandy,NewLands,42852,18679,0,0,0,11586,29151
Tomato,64,Nile,Loamy,North_Coast,65955,30680,61771,17505,29191,55228,4159
Maize,88,Summer,Clay,Upper_Egypt,24043,0,0,7562,5403,39636,13261
Wheat,3,Winter,Calcareous,Upper_Egypt,2490,1873,1554,1835,1000,40804,18578
Rice,371,Summer,Clay,Delta,20644,16774,27191,18396,12177,78522,22602
Rice,139,Summer,Clay,Delta,9930,14741,7375,29105,7308,76766,23517
Cotton,30,Summer,Calcareous,Upper_Egypt,29249,19075,17968,18226,13454,10319,30277
Sugarcane,445,Nile,Loamy,Upper_Egypt,108527,28968,0,69576,31410,107002,2500
Maize,185,Summer,Loamy,NewLands,22656,5185,8644,3726,0,29909,13199
Tomato,67,Nile,Sandy,Upper_Egypt,31074,0,8780,31306,32741,36356,4055
Sugarcane,98,Nile,Sandy,Upper_Egypt,15633,2236,0,30888,9906,116644,2500
Rice,3,Summer,Clay,Delta,3005,2121,2797,2142,1132,70177,23429
Maize,136,Nile,Clay,Delta,816,11272,11786,0,13893,24887,13194
Fava Beans,100,Winter,Sandy,NewLands,39577,22222,27431,29934,17559,19545,44498
Wheat,91,Winter,Loamy,Sinai,13644,32117,13915,0,0,39303,18465
Sugarcane,50,Summer,Loamy,Upper_Egypt,80402,71121,71541,89667,20413,104655,2500
Sugarcane,373,Nile,Loamy,NewLands,38106,0,29978,41182,26552,114046,2500
Cotton,5,Summer,Clay,Delta,29081,29948,38441,19306,30457,14494,30614
Potato,3,Nile,Clay,Sinai,6768,5182,3663,3948,1855,43369,5826
Potato,33,Winter,Loamy,Delta,13949,14759,22991,0,12403,9949,5817
Rice,472,Nile,Clay,Delta,16053,29499,28320,17702,29,83572,23631
Wheat,62,Winter,Clay,Upper_Egypt,8627,0,7352,29165,8289,18987,18798
Potato,91,Winter,Loamy,NewLands,68548,79716,30568,54049,11954,32003,6426
Sugarcane,1,Nile,Clay,Upper_Egypt,2214,2099,1586,2113,648,113900,2500
Maize,295,Nile,Clay,Upper_Egypt,11658,0,12274,17025,0,35541,13029
Sugarcane,317,Nile,Clay,Upper_Egypt,55233,72296,27100,2862,4863,97479,2500
Fava Beans,20,Winter,Loamy,North_Coast,9436,5040,5902,8040,3116,26500,44454
Potato,10,Winter,Sandy,Sinai,20876,13359,10358,15410,6383,29425,6137
Fava Beans,20,Winter,Calcareous,Delta,12009,5100,6379,7342,3714,31825,44481
Wheat,47,Winter,Sandy,Delta,16872,18499,25650,14421,632,29973,18456
Wheat,120,Winter,Sandy,Upper_Egypt,0,0,7466,0,10298,23198,18690
Sugarcane,304,Nile,Loamy,Upper_Egypt,37477,50575,14063,69305,39231,103960,2500
Tomato,82,Nile,Loamy,Delta,28936,418,15500,38603,3043,18823,5333
Tomato,42,Nile,Sandy,North_Coast,30662,7460,7559,24617,29297,44166,3977
Fava Beans,30,Winter,Loamy,Delta,16129,8319,8050,10408,5850,22817,44318
Fava Beans,85,Winter,Clay,Delta,16568,1493,0,6625,0,25261,44676
Sugarcane,50,Summer,Loamy,Upper_Egypt,71578,71245,72267,76131,20611,97683,2500
