nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,soil_ph,organic_matter_pct,temperature_avg_c,humidity_pct,rainfall_mm,soil_type,region,season,recommended_crop
88.7,54.9,146.4,6.95,1.902,26.9,42.9,7.5,Sandy,Delta,Winter,Tomato
28.4,23.0,124.4,6.66,2.039,11.2,85.1,26.9,Loamy,Upper_Egypt,Nile,Fava Beans
105.1,26.9,189.7,7.18,1.416,25.5,70.6,5.8,Loamy,Delta,Nile,Tomato
77.9,52.1,183.5,6.9,1.493,30.9,46.0,0.7,Loamy,NewLands,Nile,Sugarcane
65.1,53.7,238.3,5.87,1.911,17.6,61.9,25.0,Sandy,Sinai,Winter,Potato
27.3,49.1,171.0,7.54,1.125,19.3,64.7,28.7,Sandy,Upper_Egypt,Winter,Fava Beans
62.6,31.5,147.4,6.1,1.696,41.0,24.2,5.6,Calcareous,NewLands,Summer,Cotton
75.1,36.3,161.1,7.34,1.136,30.8,37.8,6.2,Sandy,Upper_Egypt,Summer,Cotton
79.6,37.2,211.5,6.98,2.31,11.5,41.9,22.6,Clay,Upper_Egypt,Winter,Wheat
95.7,26.3,187.3,6.59,0.844,15.6,40.5,33.0,Sandy,Delta,Winter,Wheat
28.8,28.4,184.3,7.99,1.216,18.2,83.4,40.6,Sandy,Sinai,Winter,Fava Beans
72.1,33.5,166.0,7.1,1.6,14.2,42.6,30.3,Sandy,Delta,Winter,Wheat
93.9,21.7,159.8,7.4,1.969,19.2,50.3,49.8,Loamy,Sinai,Nile,Wheat
74.9,30.2,166.9,6.8,1.2,22.9,75.0,5.2,Clay,Delta,Summer,Maize
48.2,33.0,158.9,7.5,1.1,16.2,67.5,61.1,Loamy,Upper_Egypt,Winter,Fava Beans
94.1,33.6,205.5,6.73,2.979,21.2,62.7,5.4,Sandy,Sinai,Nile,Tomato
62.3,27.6,120.5,6.05,0.996,34.4,36.7,1.9,Clay,Delta,Summer,Cotton
105.5,43.9,197.5,6.2,1.7,25.2,37.4,2.5,Clay,Upper_Egypt,Nile,Sugarcane
81.8,45.6,228.5,6.1,1.6,34.1,41.3,3.1,Loamy,NewLands,Nile,Sugarcane
106.9,44.6,211.4,6.3,2.5,30.7,72.4,6.3,Clay,Delta,Summer,Rice
94.4,45.4,171.9,5.96,2.456,21.2,56.4,2.1,Clay,North_Coast,Summer,Maize
78.4,31.6,146.7,7.1,1.925,30.9,44.2,5.9,Loamy,Upper_Egypt,Summer,Cotton
29.8,38.6,123.8,6.7,2.747,16.7,72.2,42.0,Loamy,Sinai,Winter,Fava Beans
26.7,37.7,157.0,6.58,2.525,13.1,70.2,54.1,Clay,Upper_Egypt,Winter,Fava Beans
94.8,49.9,199.2,6.37,2.928,15.2,52.3,27.7,Sandy,Sinai,Nile,Potato
67.5,36.5,227.1,6.91,2.31,20.2,65.4,33.1,Sandy,Sinai,Winter,Potato
84.5,29.3,175.3,6.93,2.366,15.5,63.3,18.9,Clay,NewLands,Winter,Wheat
41.9,37.0,185.0,7.98,0.724,42.7,39.0,0.6,Clay,Delta,Summer,Cotton
85.4,50.4,225.3,7.0,2.4,27.6,36.5,0.7,Clay,Upper_Egypt,Summer,Sugarcane
37.6,24.7,117.0,6.27,2.531,12.5,72.4,49.2,Loamy,Delta,Winter,Fava Beans
50.3,29.4,195.6,7.15,1.959,10.5,65.9,50.6,Clay,North_Coast,Winter,Fava Beans
79.9,45.3,176.4,6.8,2.7,22.2,70.3,3.6,Loamy,Sinai,Winter,Tomato
28.4,43.7,156.5,7.6,2.5,11.4,75.1,29.7,Clay,Delta,Winter,Fava Beans
22.7,23.3,157.0,7.11,2.527,15.8,82.8,30.3,Loamy,Delta,Winter,Fava Beans
32.5,40.9,181.5,6.52,1.367,17.9,73.5,63.8,Clay,Delta,Winter,Fava Beans
75.4,36.4,225.9,6.2,2.8,30.6,67.7,3.3,Clay,Delta,Summer,Rice
66.9,33.9,170.6,7.03,1.818,16.5,55.9,5.5,Loamy,North_Coast,Winter,Wheat
108.8,32.1,186.0,6.91,1.415,34.0,30.3,2.3,Sandy,Upper_Egypt,Nile,Sugarcane
70.7,26.2,192.7,5.98,1.527,27.6,75.7,9.1,Loamy,Delta,Summer,Rice
99.0,45.1,138.3,7.6,1.743,11.3,60.0,35.9,Clay,North_Coast,Winter,Wheat
92.9,45.2,173.7,6.8,1.8,24.3,47.0,5.5,Sandy,Upper_Egypt,Nile,Tomato
46.2,28.8,135.5,7.1,1.7,14.2,74.8,16.0,Clay,Upper_Egypt,Winter,Fava Beans
73.0,31.1,154.0,6.28,1.64,36.8,64.3,4.2,Loamy,Delta,Summer,Rice
91.3,31.1,217.5,6.51,1.712,23.7,57.1,13.4,Loamy,Sinai,Winter,Potato
96.8,36.5,183.2,6.6,2.8,33.1,73.7,4.1,Loamy,NewLands,Summer,Rice
82.9,41.1,175.7,7.53,1.281,21.1,51.7,54.2,Clay,North_Coast,Winter,Wheat
87.0,44.6,205.7,6.82,2.935,26.7,74.8,0.8,Loamy,Delta,Nile,Rice
87.0,38.8,256.7,7.1,2.0,30.9,43.1,4.7,Loamy,Upper_Egypt,Nile,Sugarcane
72.2,42.3,183.9,5.6,1.6,29.5,64.8,5.5,Loamy,Delta,Summer,Rice
39.3,24.9,163.4,6.63,1.24,12.6,84.1,44.2,Loamy,Delta,Winter,Fava Beans
62.9,39.4,165.3,6.78,2.638,23.3,72.2,6.7,Loamy,Delta,Nile,Potato
77.5,32.5,236.1,6.7,1.7,22.9,55.5,2.4,Clay,Delta,Summer,Maize
86.2,22.5,208.1,6.27,1.773,28.7,55.5,2.8,Clay,Upper_Egypt,Summer,Maize
106.9,43.3,203.9,6.5,0.7,30.3,59.1,3.7,Clay,Delta,Summer,Maize
101.5,47.5,165.1,6.98,2.008,33.4,67.6,2.9,Loamy,Delta,Nile,Rice
76.1,34.9,256.4,6.9,2.2,34.8,75.1,6.7,Clay,North_Coast,Nile,Rice
100.1,27.1,188.0,6.71,2.951,33.9,84.8,3.0,Loamy,Delta,Summer,Rice
48.6,38.8,213.9,7.3,1.6,12.2,80.4,10.1,Calcareous,North_Coast,Winter,Fava Beans
82.3,53.6,212.8,6.16,2.396,32.2,69.0,0.6,Clay,Delta,Summer,Rice
93.3,24.9,188.9,7.0,1.7,31.7,40.0,4.2,Sandy,NewLands,Summer,Sugarcane
75.2,41.0,191.1,7.2,1.6,16.9,49.0,30.2,Loamy,Sinai,Nile,Wheat
65.9,35.3,227.3,6.5,2.6,15.9,65.3,12.8,Loamy,North_Coast,Winter,Potato
107.3,42.1,225.3,7.45,1.387,39.0,26.4,2.1,Clay,Upper_Egypt,Nile,Sugarcane
83.5,25.1,195.4,6.13,1.821,24.6,73.3,4.0,Sandy,North_Coast,Winter,Potato
95.4,26.2,215.2,5.8,2.6,33.5,78.9,8.6,Clay,Delta,Summer,Rice
71.2,34.7,174.7,6.99,2.283,26.4,69.9,9.1,Loamy,Delta,Summer,Rice
81.4,43.0,153.7,7.49,2.533,15.2,42.7,27.0,Clay,Delta,Winter,Wheat
74.8,36.1,219.0,6.5,2.2,22.8,65.3,1.5,Loamy,Upper_Egypt,Nile,Tomato
95.0,35.4,128.3,6.66,1.18,10.2,61.9,35.8,Clay,Sinai,Winter,Wheat
75.7,47.3,151.3,7.59,1.103,12.4,59.6,14.3,Clay,Delta,Winter,Wheat
71.7,41.4,198.9,7.97,0.888,19.2,44.2,13.0,Clay,NewLands,Winter,Wheat
43.9,30.6,143.4,7.5,1.6,40.6,43.8,1.8,Clay,Delta,Summer,Cotton
69.5,42.4,182.0,7.91,1.338,16.7,52.8,7.1,Loamy,Delta,Winter,Wheat
93.8,35.2,223.9,6.39,1.132,30.0,65.7,2.8,Clay,Delta,Summer,Maize
88.8,32.3,161.1,6.4,2.4,24.8,63.0,6.2,Sandy,NewLands,Summer,Maize
41.8,32.6,168.4,7.0,0.9,41.1,37.6,0.8,Clay,NewLands,Summer,Cotton
102.0,41.2,178.5,6.62,1.958,20.7,50.9,2.3,Clay,Upper_Egypt,Summer,Tomato
92.2,37.7,191.2,6.92,2.64,39.9,43.8,4.5,Clay,Upper_Egypt,Nile,Sugarcane
75.4,44.7,189.2,7.03,2.184,15.3,52.2,39.1,Calcareous,Delta,Winter,Wheat
75.8,49.9,214.3,6.0,1.458,31.6,69.8,2.4,Sandy,Delta,Nile,Tomato
47.4,28.9,206.8,7.2,1.5,42.2,27.5,4.9,Loamy,Delta,Summer,Cotton
53.6,20.7,173.4,6.07,2.212,13.0,74.8,35.6,Clay,Delta,Winter,Fava Beans
100.4,41.9,209.3,6.4,2.5,27.6,59.9,5.6,Loamy,Delta,Summer,Rice
61.7,36.0,164.7,6.9,1.7,31.1,22.6,4.9,Loamy,Upper_Egypt,Summer,Cotton
102.7,53.7,225.8,6.47,1.002,26.7,50.6,3.7,Clay,Upper_Egypt,Nile,Sugarcane
92.3,36.2,184.7,6.8,1.9,14.3,55.6,17.7,Clay,Upper_Egypt,Winter,Wheat
81.5,43.7,171.5,7.03,0.997,18.0,63.7,48.9,Sandy,Sinai,Winter,Wheat
75.1,29.1,198.1,6.0,2.9,18.3,62.5,35.8,Sandy,Delta,Nile,Potato
73.0,32.1,171.4,7.1,1.9,16.3,54.5,15.1,Clay,Delta,Winter,Wheat
65.8,39.9,208.7,7.65,1.193,35.0,39.5,1.3,Clay,Delta,Nile,Cotton
69.2,37.2,213.3,6.97,2.819,21.8,65.9,9.5,Loamy,Delta,Winter,Potato
62.8,41.7,188.9,5.68,1.403,22.7,56.3,17.8,Sandy,North_Coast,Nile,Potato
47.7,35.6,174.5,7.6,1.634,9.3,68.7,35.0,Loamy,North_Coast,Winter,Fava Beans
89.7,32.1,213.0,7.34,1.693,28.0,58.7,5.8,Sandy,Upper_Egypt,Summer,Maize
72.9,31.7,201.3,5.53,2.023,15.5,62.4,31.6,Loamy,Delta,Winter,Potato
94.4,34.8,251.3,7.0,3.036,37.3,67.6,2.3,Loamy,Delta,Summer,Rice
85.4,35.4,258.5,6.3,2.1,28.4,73.5,9.0,Loamy,Delta,Summer,Rice
93.0,28.7,186.3,6.15,1.899,22.5,68.4,0.6,Clay,NewLands,Summer,Maize
82.5,45.3,258.3,6.82,2.534,31.5,65.8,6.1,Loamy,Delta,Summer,Rice
99.5,51.7,226.6,7.49,1.007,19.4,59.7,2.4,Sandy,Delta,Nile,Tomato
70.8,42.3,176.2,7.1,1.6,16.9,53.5,48.4,Calcareous,Delta,Winter,Wheat
90.9,33.3,249.3,6.47,2.052,23.9,48.7,5.6,Sandy,Sinai,Summer,Tomato
97.5,41.6,264.1,7.2,2.0,33.1,45.7,2.2,Loamy,Upper_Egypt,Summer,Sugarcane
109.3,32.5,224.8,7.0,1.312,23.5,54.2,3.7,Loamy,North_Coast,Summer,Maize
114.6,37.3,158.7,6.69,1.525,30.8,58.8,5.9,Clay,Upper_Egypt,Summer,Maize
78.2,40.3,192.9,6.4,1.1,21.2,57.7,18.3,Sandy,Delta,Winter,Potato
71.3,48.8,198.2,6.39,1.048,26.9,25.3,3.4,Loamy,Upper_Egypt,Nile,Sugarcane
93.2,30.6,170.4,5.56,2.751,27.2,65.3,6.2,Clay,North_Coast,Summer,Rice
41.1,30.6,148.6,6.8,2.2,18.3,85.0,12.1,Calcareous,Delta,Winter,Fava Beans
37.3,36.5,150.0,7.48,0.923,13.4,77.0,50.2,Loamy,North_Coast,Winter,Fava Beans
74.4,28.6,190.3,5.93,1.624,35.7,66.8,3.2,Clay,Delta,Summer,Rice
76.1,54.0,142.0,6.28,1.818,24.5,41.8,5.6,Clay,Upper_Egypt,Nile,Tomato
95.0,40.1,210.8,6.3,1.6,29.0,68.7,2.3,Clay,Delta,Summer,Rice
21.4,30.5,123.3,7.5,1.6,16.0,67.7,53.1,Loamy,Sinai,Winter,Fava Beans
41.8,28.4,188.5,6.6,0.7,30.9,36.1,4.3,Loamy,Upper_Egypt,Summer,Cotton
117.8,39.8,148.9,6.91,1.669,20.2,61.0,3.0,Calcareous,NewLands,Nile,Maize
82.9,49.5,202.3,6.21,1.83,28.0,61.3,8.7,Clay,Delta,Summer,Rice
90.0,47.6,214.9,6.7,2.0,34.3,56.6,3.3,Clay,NewLands,Nile,Sugarcane
84.3,38.0,175.4,6.96,3.078,20.4,67.8,31.9,Sandy,Sinai,Winter,Potato
54.5,25.5,186.3,6.34,1.069,15.2,69.0,10.0,Sandy,Delta,Winter,Fava Beans
76.6,30.7,177.3,6.4,1.6,18.9,41.3,30.4,Loamy,Delta,Winter,Wheat
77.8,36.3,137.5,6.7,0.5,32.7,21.2,0.5,Sandy,Upper_Egypt,Summer,Cotton
77.6,50.5,186.6,6.88,2.153,28.9,84.1,9.7,Clay,Delta,Summer,Rice
101.2,43.4,203.6,6.9,1.7,36.2,79.7,2.6,Clay,Delta,Summer,Rice
73.7,25.5,149.9,7.82,1.586,33.0,29.0,5.9,Loamy,Upper_Egypt,Summer,Cotton
51.9,40.3,169.4,7.1,1.6,36.1,43.9,0.2,Sandy,Delta,Nile,Cotton
43.1,27.7,186.1,6.3,1.4,33.5,32.5,6.4,Loamy,NewLands,Summer,Cotton
81.0,31.1,240.6,6.1,2.2,34.1,36.2,1.3,Loamy,Upper_Egypt,Nile,Sugarcane
91.0,36.9,255.2,6.1,2.0,21.5,68.2,6.3,Loamy,Sinai,Nile,Potato
80.7,49.0,182.9,5.9,2.1,29.6,66.3,8.8,Loamy,North_Coast,Summer,Rice
46.8,30.7,172.6,7.1,0.9,31.3,30.8,4.2,Sandy,Delta,Nile,Cotton
109.3,40.4,133.6,5.88,2.394,21.0,63.7,6.1,Clay,NewLands,Summer,Maize
100.7,38.9,183.8,6.1,2.1,33.6,76.1,7.0,Clay,Delta,Summer,Rice
33.4,49.1,153.5,7.0,1.9,17.4,82.9,39.0,Clay,Upper_Egypt,Winter,Fava Beans
99.1,51.3,251.3,5.58,2.805,28.1,80.9,7.3,Clay,Delta,Summer,Rice
86.5,31.4,208.1,6.5,2.2,36.6,44.4,1.4,Sandy,NewLands,Summer,Sugarcane
86.4,32.3,235.3,6.76,1.111,23.9,71.2,1.5,Calcareous,North_Coast,Nile,Tomato
70.4,30.8,148.6,7.1,2.8,28.6,37.6,0.8,Loamy,Upper_Egypt,Summer,Sugarcane
95.0,22.5,214.3,7.4,1.9,35.9,35.4,0.0,Sandy,Upper_Egypt,Summer,Sugarcane
25.3,35.7,159.0,7.5,1.9,11.1,63.1,59.0,Calcareous,Upper_Egypt,Winter,Fava Beans
74.4,40.0,141.9,6.46,2.342,26.5,44.6,2.3,Sandy,North_Coast,Summer,Tomato
43.3,35.4,158.6,7.11,1.35,12.6,87.8,62.1,Loamy,Upper_Egypt,Winter,Fava Beans
97.6,42.4,222.4,6.1,2.2,24.6,44.5,3.7,Clay,NewLands,Summer,Sugarcane
66.7,39.7,240.3,6.8,2.1,16.9,72.8,4.0,Loamy,North_Coast,Winter,Potato
45.1,25.2,209.6,6.7,1.0,32.2,31.4,5.8,Calcareous,Upper_Egypt,Summer,Cotton
94.1,44.4,183.1,7.4,2.3,34.2,48.9,3.2,Clay,Upper_Egypt,Summer,Sugarcane
95.3,57.4,201.3,6.3,2.2,34.3,83.0,3.0,Loamy,Delta,Summer,Rice
97.9,45.4,168.9,7.6,2.3,21.7,41.6,34.6,Loamy,Delta,Winter,Wheat
101.3,34.1,209.1,6.76,1.3,24.6,75.4,27.9,Loamy,Delta,Nile,Potato
85.8,37.1,184.1,5.7,2.0,22.5,73.6,4.1,Loamy,North_Coast,Summer,Maize
103.2,47.6,216.0,6.5,2.4,31.1,86.8,2.4,Loamy,North_Coast,Summer,Rice
75.6,37.8,242.6,6.64,2.765,29.4,65.0,0.3,Clay,North_Coast,Nile,Tomato
44.9,28.2,165.9,7.79,0.861,31.9,25.2,5.9,Sandy,Delta,Summer,Cotton
93.0,37.5,165.1,6.58,2.302,31.2,76.3,1.9,Clay,Delta,Summer,Rice
60.7,41.4,164.7,6.4,1.2,42.6,29.2,6.1,Sandy,Delta,Nile,Cotton
30.0,36.3,124.6,6.6,2.2,12.2,65.4,18.7,Loamy,Upper_Egypt,Winter,Fava Beans
40.5,31.7,144.5,6.7,1.1,14.9,82.7,17.6,Sandy,Upper_Egypt,Nile,Fava Beans
77.0,40.3,121.8,6.88,1.07,13.9,44.7,58.6,Loamy,Upper_Egypt,Winter,Wheat
80.0,43.6,214.1,6.39,2.913,23.9,55.1,0.7,Sandy,Delta,Nile,Potato
104.4,37.9,202.4,6.1,1.6,20.3,56.0,1.4,Clay,Upper_Egypt,Summer,Maize
88.6,28.3,218.4,6.9,2.4,33.1,74.9,5.7,Clay,North_Coast,Nile,Rice
87.5,40.2,229.3,6.12,2.356,23.9,72.8,22.1,Sandy,Sinai,Nile,Potato
90.6,32.9,203.8,7.48,2.711,31.4,66.4,6.6,Sandy,Sinai,Nile,Tomato
73.0,56.9,178.9,6.6,2.6,26.5,45.5,4.7,Clay,Sinai,Winter,Tomato
40.5,25.0,175.6,6.5,1.8,12.0,72.3,22.5,Sandy,Sinai,Winter,Fava Beans
99.6,31.9,190.7,6.73,1.075,16.1,40.8,47.6,Clay,Delta,Nile,Wheat
91.9,23.8,148.0,6.12,1.427,22.2,65.4,4.8,Sandy,Delta,Summer,Maize
91.2,49.8,269.3,6.55,2.638,24.4,57.3,4.1,Loamy,Sinai,Summer,Potato
82.0,39.0,159.6,7.5,1.0,15.5,58.6,31.1,Clay,Delta,Winter,Wheat
49.8,24.4,184.8,7.5,0.7,39.9,29.2,2.4,Loamy,Upper_Egypt,Summer,Cotton
71.3,45.9,139.6,7.55,1.46,20.4,58.1,48.5,Clay,North_Coast,Winter,Wheat
35.6,33.8,168.3,7.0,2.603,18.9,74.8,36.1,Sandy,Upper_Egypt,Winter,Fava Beans
60.7,51.4,221.0,6.8,1.5,22.4,58.4,6.2,Sandy,North_Coast,Summer,Tomato
54.3,43.4,182.5,7.2,1.6,42.6,21.3,5.2,Clay,NewLands,Summer,Cotton
115.1,54.5,208.6,7.0,1.2,34.0,31.2,2.8,Clay,Upper_Egypt,Nile,Sugarcane
74.4,36.6,167.8,6.85,1.419,23.9,71.3,27.1,Loamy,Delta,Nile,Potato
90.1,40.3,199.9,6.6,2.4,27.5,62.6,6.1,Clay,NewLands,Summer,Rice
96.2,48.9,216.8,7.6,2.27,10.5,43.4,52.7,Clay,North_Coast,Winter,Wheat
49.3,50.0,122.6,7.56,1.123,17.9,84.9,57.8,Loamy,Sinai,Winter,Fava Beans
81.1,32.9,166.1,7.0,1.9,16.4,60.9,23.8,Loamy,Delta,Nile,Wheat
81.7,25.2,196.7,6.75,1.997,20.1,56.3,3.9,Clay,North_Coast,Summer,Tomato
112.3,33.2,192.2,6.7,3.033,26.4,80.7,1.1,Clay,Delta,Nile,Rice
88.2,36.0,217.3,7.1,1.7,32.1,44.3,3.5,Clay,Upper_Egypt,Nile,Sugarcane
80.3,48.5,156.2,7.39,2.416,30.6,46.2,0.6,Loamy,North_Coast,Nile,Tomato
82.7,38.8,186.4,6.4,1.9,27.0,67.8,3.0,Loamy,Upper_Egypt,Summer,Maize
80.8,54.8,210.4,7.5,1.931,21.6,59.2,4.5,Clay,Sinai,Nile,Tomato
85.2,38.9,266.3,6.5,1.3,22.0,63.3,3.9,Sandy,Sinai,Winter,Tomato
88.8,26.9,240.0,6.82,1.936,39.8,31.7,1.8,Loamy,NewLands,Nile,Sugarcane
110.1,25.0,173.4,7.08,2.736,36.6,31.5,0.3,Sandy,Upper_Egypt,Summer,Sugarcane
112.0,41.6,139.4,6.55,1.693,25.1,51.4,4.8,Loamy,North_Coast,Summer,Maize
79.6,30.1,163.6,6.76,0.983,35.7,39.2,4.3,Sandy,Delta,Nile,Cotton
75.2,48.1,190.2,7.01,2.443,29.0,63.7,4.8,Clay,Upper_Egypt,Summer,Tomato
90.7,35.7,235.7,7.49,1.688,26.8,27.8,2.7,Loamy,Upper_Egypt,Summer,Sugarcane
29.3,48.0,180.5,7.61,1.504,18.0,72.7,20.4,Loamy,Upper_Egypt,Winter,Fava Beans
86.9,30.4,194.0,5.67,1.301,16.1,76.3,23.2,Calcareous,Delta,Winter,Potato
35.7,49.6,164.6,7.71,1.138,19.1,76.0,44.5,Clay,North_Coast,Winter,Fava Beans
71.9,27.3,153.5,5.82,1.2,30.7,68.2,5.4,Loamy,Upper_Egypt,Summer,Maize
92.0,39.8,225.7,6.03,1.827,35.5,83.8,7.3,Loamy,North_Coast,Summer,Rice
67.4,32.6,194.6,6.82,1.114,33.6,30.4,1.5,Loamy,Delta,Summer,Cotton
81.2,32.6,213.3,6.6,1.4,16.3,68.1,9.2,Loamy,Sinai,Nile,Potato
