crop,area_feddans,region,season,soil_type,yield_tonnes_per_feddan,production_tonnes
Sugarcane,105,Upper_Egypt,Summer,Sandy,44.547,4677.4
Maize,879,NewLands,Summer,Clay,2.737,2405.8
Tomato,170,Sinai,Nile,Loamy,9.314,1583.4
Maize,547,North_Coast,Summer,Loamy,1.612,881.8
Wheat,499,Delta,Winter,Clay,3.4860100000000003,1739.5
Maize,566,North_Coast,Summer,Loamy,3.149,1782.3
Wheat,424,Delta,Winter,Sandy,2.041,865.4
Potato,278,Delta,Winter,Sandy,12.454,3462.2
Maize,819,Delta,Summer,Calcareous,2.701,2212.1
Maize,318,North_Coast,Summer,Sandy,2.165,688.5
Fava Beans,114,North_Coast,Winter,Loamy,4.168,475.2
Cotton,124,NewLands,Summer,Loamy,0.933,115.7
Sugarcane,377,NewLands,Summer,Sandy,40.333,15205.5
Potato,190,NewLands,Summer,Sandy,7.801,1482.2
Potato,143,NewLands,Nile,Sandy,11.891,1700.4
Tomato,36,Delta,Nile,Sandy,12.243,440.7
Wheat,48,Delta,Winter,Clay,3.064,147.1
Cotton,139,Upper_Egypt,Summer,Sandy,1.033,143.6
Sugarcane,20,Upper_Egypt,Summer,Loamy,59.395,1187.9
Tomato,111,Delta,Summer,Clay,11.585,1285.9
Rice,581,North_Coast,Summer,Loamy,2.862,1662.8
Sugarcane,899,Upper_Egypt,Summer,Clay,40.692,36582.1
Sugarcane,458,Upper_Egypt,Nile,Clay,43.893,20103.0
Cotton,131,NewLands,Summer,Clay,1.046,137.0
Tomato,182,Upper_Egypt,Winter,Loamy,13.292,2419.1
Tomato,87,Delta,Nile,Loamy,17.443,1517.5
Cotton,204,Delta,Summer,Sandy,0.962,196.2
Sugarcane,920,Upper_Egypt,Nile,Clay,43.653,40160.8
Tomato,152,Delta,Summer,Sandy,12.677,1926.9
Maize,332,Delta,Summer,Clay,2.736,908.4
Fava Beans,164,Sinai,Winter,Clay,5.693,933.7
Maize,176,Delta,Summer,Clay,4.25436,748.8
Potato,253,Sinai,Nile,Sandy,11.484,2905.5
Fava Beans,176,Sinai,Winter,Clay,4.821,848.5
Tomato,83,Delta,Nile,Calcareous,15.439,1281.4
Cotton,101,Delta,Summer,Clay,1.184,119.6
Fava Beans,52,Delta,Winter,Clay,3.53,183.6
Fava Beans,128,North_Coast,Winter,Loamy,4.323,553.3
Sugarcane,504,Upper_Egypt,Nile,Clay,55.649,28047.1
Fava Beans,50,Upper_Egypt,Nile,Clay,4.496,224.8
Potato,259,North_Coast,Nile,Sandy,12.583,3259.0
Fava Beans,185,Sinai,Winter,Loamy,5.208,963.5
Rice,81,Delta,Summer,Loamy,4.005,324.4
Tomato,126,Sinai,Nile,Loamy,10.596,1335.1
Wheat,438,North_Coast,Winter,Loamy,2.339,1024.5
Tomato,165,Sinai,Nile,Sandy,17.57,2899.0
Rice,256,Delta,Summer,Loamy,3.638,931.3
Cotton,61,NewLands,Summer,Sandy,1.047,63.9
Fava Beans,8,Upper_Egypt,Winter,Sandy,4.646,37.2
Fava Beans,180,Upper_Egypt,Winter,Loamy,4.469,804.4
Sugarcane,488,NewLands,Summer,Loamy,42.703,20839.1
Tomato,1,Upper_Egypt,Summer,Loamy,7.028,7.0
Maize,473,NewLands,Summer,Sandy,2.867,1356.1
Cotton,81,Delta,Summer,Clay,1.162,94.1
Cotton,234,Delta,Summer,Clay,1.196,279.9
Rice,689,Delta,Summer,Clay,5.120720000000001,3528.2
Fava Beans,184,North_Coast,Nile,Sandy,4.087,752.0
Tomato,66,North_Coast,Nile,Sandy,17.398,1148.3
Potato,12,North_Coast,Winter,Loamy,12.845,154.1
Rice,171,Delta,Summer,Clay,5.120720000000001,875.6
Fava Beans,55,Upper_Egypt,Winter,Sandy,4.98,273.9
Wheat,388,Sinai,Winter,Sandy,0.903,350.4
Rice,235,Delta,Summer,Loamy,3.628,852.6
Wheat,271,Delta,Winter,Sandy,1.69,458.0
Potato,73,Sinai,Winter,Loamy,10.305,752.3
Cotton,126,Delta,Summer,Calcareous,0.992,125.0
Fava Beans,121,Delta,Winter,Loamy,5.409,654.5
Sugarcane,526,Upper_Egypt,Nile,Loamy,60.916,32041.8
Rice,436,Delta,Summer,Loamy,4.04,1761.4
Tomato,57,Upper_Egypt,Winter,Clay,12.001,684.1
Potato,201,NewLands,Winter,Loamy,9.615,1932.6
Maize,221,Upper_Egypt,Summer,Loamy,3.749,828.5
Cotton,277,NewLands,Nile,Clay,1.088,301.4
Potato,248,North_Coast,Nile,Clay,6.669,1653.9
Cotton,88,Upper_Egypt,Summer,Loamy,1.212,106.7
Fava Beans,176,Delta,Nile,Loamy,4.616,812.4
Rice,626,Delta,Nile,Clay,4.129,2584.8
Fava Beans,125,Sinai,Winter,Clay,3.194,399.2
Wheat,339,Delta,Winter,Loamy,2.585,876.3
Tomato,169,Sinai,Nile,Clay,11.296,1909.0
Maize,75,Delta,Summer,Clay,2.235,167.6
Rice,675,NewLands,Summer,Clay,3.862,2606.8
Maize,786,Delta,Summer,Sandy,2.369,1862.0
Fava Beans,156,Sinai,Winter,Loamy,6.094,950.7
Wheat,292,Upper_Egypt,Winter,Loamy,1.908,557.1
Fava Beans,3,Delta,Winter,Sandy,4.259,12.8
Sugarcane,904,Upper_Egypt,Summer,Clay,53.729,48571.0
Wheat,104,NewLands,Winter,Clay,2.578,268.1
Fava Beans,169,Sinai,Winter,Calcareous,3.628,613.1
Wheat,117,North_Coast,Winter,Loamy,2.197,257.0
Fava Beans,107,Upper_Egypt,Winter,Calcareous,3.901,417.4
Potato,87,North_Coast,Nile,Sandy,12.991,1130.2
Rice,452,Delta,Summer,Loamy,4.969,2246.0
Cotton,266,Delta,Summer,Clay,0.984,261.7
Sugarcane,364,Upper_Egypt,Summer,Loamy,52.0,18928.0
Cotton,253,NewLands,Summer,Sandy,0.766,193.8
Sugarcane,159,Upper_Egypt,Nile,Sandy,30.91,4914.7
Sugarcane,610,Upper_Egypt,Nile,Loamy,52.599,32085.4
Fava Beans,10,Sinai,Winter,Sandy,3.754,37.5
Maize,137,Delta,Summer,Loamy,3.591,492.0
Cotton,167,NewLands,Summer,Sandy,0.771,128.8
Wheat,190,North_Coast,Winter,Clay,2.277,432.6
Cotton,150,NewLands,Summer,Loamy,0.934,140.1
Tomato,187,North_Coast,Nile,Clay,10.14,1896.2
Fava Beans,9,Delta,Winter,Loamy,4.775,43.0
Cotton,234,Delta,Summer,Sandy,0.918,214.8
Tomato,47,Delta,Winter,Sandy,11.611,545.7
Wheat,391,Delta,Winter,Clay,2.564,1002.5
Fava Beans,121,Sinai,Winter,Clay,5.62,680.0
Tomato,43,Sinai,Nile,Calcareous,10.817,465.1
Fava Beans,147,Upper_Egypt,Nile,Sandy,2.58,379.3
Potato,37,NewLands,Nile,Sandy,12.364,457.5
Sugarcane,659,NewLands,Summer,Clay,46.348,30543.3
Rice,740,Delta,Summer,Clay,4.74,3507.6
Potato,204,North_Coast,Nile,Loamy,11.98,2443.9
Rice,419,Delta,Summer,Clay,5.120720000000001,2145.6
Potato,227,Sinai,Nile,Clay,9.45,2145.1
Wheat,126,Sinai,Winter,Loamy,1.351,170.2
Rice,653,Delta,Summer,Loamy,2.484,1622.1
Fava Beans,24,Upper_Egypt,Winter,Clay,4.702,112.8
Maize,10,Delta,Summer,Sandy,3.055,30.6
Wheat,360,North_Coast,Winter,Calcareous,2.203,793.1
Tomato,188,North_Coast,Summer,Loamy,13.81,2596.3
Tomato,55,North_Coast,Nile,Loamy,8.054,443.0
Wheat,123,Sinai,Winter,Sandy,1.774,218.2
Fava Beans,114,Delta,Winter,Clay,3.166,360.9
Rice,660,Delta,Summer,Loamy,4.504,2972.6
Cotton,28,Upper_Egypt,Summer,Sandy,1.301,36.4
Potato,22,NewLands,Nile,Loamy,11.243,247.3
Wheat,97,North_Coast,Winter,Sandy,2.198,213.2
Maize,675,Delta,Summer,Clay,1.957,1321.0
Cotton,11,Upper_Egypt,Summer,Loamy,1.052,11.6
Tomato,143,North_Coast,Nile,Loamy,13.343,1908.0
Potato,51,North_Coast,Winter,Sandy,9.66,492.7
Maize,437,Delta,Summer,Loamy,3.497,1528.2
Maize,468,Delta,Summer,Sandy,2.321,1086.2
Maize,249,Upper_Egypt,Summer,Clay,2.886,718.6
Maize,270,Upper_Egypt,Summer,Sandy,1.952,527.0
Wheat,187,Upper_Egypt,Winter,Clay,2.435,455.3
Tomato,141,Sinai,Winter,Clay,15.177,2140.0
Maize,836,Upper_Egypt,Summer,Sandy,2.596,2170.3
Maize,585,North_Coast,Summer,Clay,3.044,1780.7
Wheat,182,Upper_Egypt,Winter,Clay,2.556,465.2
Potato,91,NewLands,Winter,Sandy,12.324,1121.5
Rice,238,North_Coast,Summer,Clay,3.289,782.8
Maize,62,North_Coast,Summer,Calcareous,2.108,130.7
Fava Beans,122,North_Coast,Winter,Sandy,4.368,532.9
Tomato,197,Sinai,Nile,Loamy,15.986,3149.2
Potato,261,North_Coast,Winter,Sandy,11.821,3085.3
Potato,252,North_Coast,Winter,Sandy,11.337,2856.9
Sugarcane,774,Upper_Egypt,Summer,Loamy,47.271,36587.8
Wheat,32,North_Coast,Winter,Clay,3.212,102.8
Cotton,30,NewLands,Nile,Sandy,0.794,23.8
Wheat,234,Delta,Winter,Loamy,3.4860100000000003,815.7
Cotton,198,Upper_Egypt,Summer,Sandy,0.8,158.4
Maize,748,North_Coast,Summer,Clay,1.514,1132.5
Potato,28,North_Coast,Nile,Sandy,10.742,300.8
Maize,889,Delta,Summer,Loamy,2.13,1893.6
Rice,534,Delta,Summer,Clay,2.815,1503.2
Cotton,36,NewLands,Summer,Sandy,0.676,24.3
Sugarcane,803,Upper_Egypt,Summer,Sandy,42.447,34084.9
Potato,48,North_Coast,Winter,Loamy,12.002,576.1
Maize,536,Delta,Summer,Clay,3.107,1665.4
Maize,79,NewLands,Summer,Loamy,1.999,157.9
Sugarcane,503,Upper_Egypt,Summer,Clay,51.291,25799.4
Wheat,397,North_Coast,Winter,Clay,1.818,721.7
Potato,204,Delta,Nile,Loamy,9.599,1958.2
Maize,570,North_Coast,Summer,Loamy,2.382,1357.7
Fava Beans,100,Delta,Winter,Clay,5.806,580.6
Cotton,151,NewLands,Summer,Loamy,1.017,153.6
Wheat,430,Delta,Winter,Clay,3.132,1346.8
Sugarcane,504,Upper_Egypt,Summer,Sandy,46.103,23235.9
Maize,733,North_Coast,Summer,Clay,3.345,2451.9
Maize,572,Delta,Summer,Clay,2.346,1341.9
Cotton,139,NewLands,Summer,Sandy,0.748,104.0
Rice,422,Delta,Summer,Loamy,4.164,1757.2
Maize,659,NewLands,Summer,Sandy,1.727,1138.1
Fava Beans,91,Upper_Egypt,Winter,Loamy,4.392,399.7
Rice,757,North_Coast,Summer,Clay,3.24,2452.7
Cotton,178,Upper_Egypt,Nile,Clay,0.796,141.7
Wheat,384,Sinai,Winter,Sandy,1.653,634.8
Wheat,26,Upper_Egypt,Winter,Sandy,1.313,34.1
Potato,2,Sinai,Summer,Loamy,8.768,17.5
Sugarcane,208,Upper_Egypt,Summer,Clay,59.752,12428.4
Rice,673,North_Coast,Summer,Loamy,4.044,2721.6
Potato,95,NewLands,Nile,Sandy,9.504,902.9
Tomato,22,Sinai,Nile,Clay,12.478,274.5
Maize,570,Delta,Summer,Clay,3.057,1742.5
Fava Beans,134,Delta,Winter,Sandy,5.07,679.4
Cotton,210,NewLands,Summer,Clay,1.131,237.5
Cotton,274,Delta,Summer,Sandy,1.175,322.0
Maize,251,NewLands,Summer,Clay,3.021,758.3
Potato,98,NewLands,Nile,Loamy,9.374,918.7
Fava Beans,152,North_Coast,Winter,Sandy,4.222,641.7
Cotton,60,NewLands,Summer,Clay,1.078,64.7
Maize,420,Delta,Summer,Sandy,2.809,1179.8
Wheat,434,Upper_Egypt,Winter,Clay,2.402,1042.5
Tomato,174,North_Coast,Nile,Clay,13.756,2393.5
Cotton,138,Upper_Egypt,Nile,Sandy,0.824,113.7
Tomato,1,Upper_Egypt,Nile,Loamy,12.341,12.3
Potato,174,North_Coast,Winter,Clay,10.047,1748.2
Wheat,95,Upper_Egypt,Nile,Loamy,2.085,198.1
Potato,165,Delta,Winter,Clay,12.273,2025.0
Cotton,118,NewLands,Summer,Sandy,1.017,120.0
Fava Beans,163,Upper_Egypt,Winter,Loamy,6.158,1003.8
Maize,236,Delta,Nile,Loamy,3.406,803.8
Wheat,311,NewLands,Nile,Sandy,1.326,412.4
Cotton,63,Upper_Egypt,Summer,Clay,1.095,69.0
Maize,958,NewLands,Summer,Loamy,2.579,2470.7
Wheat,211,Delta,Winter,Clay,2.937,619.7
Tomato,37,North_Coast,Nile,Sandy,12.99,480.6
Cotton,167,NewLands,Summer,Loamy,1.049,175.2
Cotton,292,NewLands,Summer,Clay,1.12,327.0
Rice,81,Delta,Summer,Clay,3.957,320.5
Cotton,187,Delta,Summer,Loamy,1.188,222.2
Cotton,77,NewLands,Summer,Loamy,0.844,65.0
Potato,133,NewLands,Winter,Sandy,10.356,1377.3
Maize,269,Delta,Summer,Clay,2.203,592.6
Sugarcane,638,Upper_Egypt,Summer,Clay,45.449,28996.5
Sugarcane,751,Upper_Egypt,Nile,Sandy,40.793,30635.5
Fava Beans,15,Delta,Winter,Clay,8.228000000000002,123.4
Tomato,136,Upper_Egypt,Nile,Calcareous,10.996,1495.5
Cotton,77,Upper_Egypt,Summer,Sandy,1.162,89.5
Sugarcane,709,Upper_Egypt,Nile,Clay,60.352,42789.6
Tomato,62,North_Coast,Summer,Loamy,10.384,643.8
Potato,217,Delta,Winter,Loamy,13.053,2832.5
Sugarcane,388,NewLands,Summer,Sandy,43.398,16838.4
Rice,39,North_Coast,Summer,Clay,3.431,133.8
Sugarcane,597,NewLands,Summer,Clay,34.865,20814.4
Sugarcane,409,Upper_Egypt,Summer,Clay,55.703,22782.5
Sugarcane,981,NewLands,Nile,Loamy,44.113,43274.9
Potato,15,NewLands,Nile,Sandy,9.9,148.5
Fava Beans,116,Sinai,Winter,Clay,5.892,683.5
Cotton,104,Upper_Egypt,Summer,Sandy,1.101,114.5
Sugarcane,696,NewLands,Nile,Sandy,38.553,26832.9
Potato,206,Delta,Winter,Sandy,11.621,2393.9
Potato,280,North_Coast,Nile,Clay,11.611,3251.1
Tomato,100,Upper_Egypt,Nile,Sandy,17.405,1740.5
Potato,18,NewLands,Winter,Sandy,12.459,224.3
Maize,448,Delta,Summer,Loamy,2.988,1338.6
Sugarcane,63,Upper_Egypt,Summer,Clay,47.533,2994.6
Sugarcane,374,Upper_Egypt,Summer,Loamy,51.088,19106.9
Wheat,378,Sinai,Winter,Sandy,2.265,856.2
Cotton,199,NewLands,Summer,Clay,1.175,233.8
Rice,197,North_Coast,Summer,Clay,4.036,795.1
Rice,605,Delta,Summer,Loamy,3.264,1974.7
Cotton,174,NewLands,Summer,Clay,0.992,172.6
Rice,38,Delta,Nile,Clay,3.505,133.2
Maize,273,Delta,Summer,Calcareous,2.27,619.7
Wheat,369,Upper_Egypt,Winter,Loamy,2.197,810.7
Sugarcane,537,Upper_Egypt,Summer,Loamy,53.014,28468.5
Potato,13,North_Coast,Summer,Sandy,11.817,153.6
Cotton,7,Upper_Egypt,Nile,Sandy,1.102,7.7
Tomato,65,North_Coast,Nile,Loamy,20.424,1327.6
Maize,847,Upper_Egypt,Summer,Calcareous,2.705,2291.1
Tomato,162,Delta,Winter,Sandy,13.576,2199.3
Potato,219,Delta,Winter,Sandy,11.541,2527.5
Tomato,173,Sinai,Nile,Loamy,11.546,1997.5
Fava Beans,65,North_Coast,Winter,Sandy,6.109,397.1
Maize,439,NewLands,Summer,Calcareous,2.062,905.2
Sugarcane,146,NewLands,Summer,Clay,51.153,7468.3
Tomato,163,Delta,Nile,Loamy,7.829,1276.1
Cotton,241,Upper_Egypt,Summer,Sandy,1.283,309.2
Maize,765,Delta,Summer,Calcareous,3.051,2334.0
Tomato,67,Sinai,Winter,Loamy,17.661,1183.3
Fava Beans,41,Sinai,Winter,Sandy,3.957,162.2
Maize,803,Delta,Summer,Sandy,2.997,2406.6
Wheat,416,NewLands,Winter,Sandy,1.74,723.8
Wheat,286,NewLands,Winter,Clay,2.24,640.6
Maize,309,North_Coast,Summer,Sandy,2.401,741.9
Fava Beans,105,North_Coast,Winter,Clay,4.688,492.2
Sugarcane,193,Upper_Egypt,Nile,Sandy,37.833,7301.8
Sugarcane,548,NewLands,Summer,Clay,49.387,27064.1
Rice,272,North_Coast,Nile,Clay,3.981,1082.8
Cotton,41,NewLands,Summer,Calcareous,0.813,33.3
Cotton,34,Upper_Egypt,Summer,Sandy,1.101,37.4
Fava Beans,26,Delta,Nile,Calcareous,3.335,86.7
Wheat,178,Delta,Winter,Clay,2.061,366.9
Wheat,214,Sinai,Nile,Clay,1.658,354.8
Fava Beans,159,Delta,Winter,Calcareous,4.086,649.7
Sugarcane,783,Upper_Egypt,Nile,Loamy,51.437,40275.2
Fava Beans,171,Upper_Egypt,Winter,Sandy,4.697,803.2
Wheat,420,Upper_Egypt,Winter,Loamy,3.394,1425.5
Potato,229,Sinai,Summer,Loamy,9.171,2100.2
Cotton,82,Delta,Summer,Clay,1.315,107.8
Tomato,81,North_Coast,Nile,Loamy,13.037,1056.0
Tomato,157,North_Coast,Winter,Loamy,11.706,1837.8
Wheat,237,Upper_Egypt,Winter,Loamy,2.483,588.5
Wheat,20,Upper_Egypt,Winter,Clay,2.342,46.8
Sugarcane,961,Upper_Egypt,Summer,Clay,49.991,48041.4
Tomato,43,North_Coast,Nile,Sandy,18.582,799.0
Maize,838,NewLands,Summer,Clay,2.248,1883.8
Cotton,198,Delta,Nile,Loamy,1.044,206.7
Rice,519,Delta,Summer,Clay,4.905,2545.7
Maize,258,Upper_Egypt,Summer,Clay,3.589,926.0
Potato,10,Sinai,Nile,Sandy,12.975,129.8
Potato,12,North_Coast,Winter,Sandy,13.404,160.8
Tomato,162,North_Coast,Nile,Loamy,17.298,2802.3
Sugarcane,13,NewLands,Nile,Loamy,46.888,609.5
Potato,150,Delta,Winter,Sandy,11.669,1750.4
Wheat,236,Delta,Winter,Loamy,3.119,736.1
Potato,211,Sinai,Summer,Clay,6.966,1469.8
Sugarcane,640,Upper_Egypt,Nile,Sandy,50.064,32041.0
Rice,725,Delta,Summer,Clay,4.499,3261.8
Cotton,134,NewLands,Nile,Sandy,0.82,109.9
Maize,810,North_Coast,Summer,Loamy,3.609,2923.3
Rice,544,North_Coast,Summer,Clay,3.925,2135.2
Wheat,239,North_Coast,Winter,Sandy,1.981,473.5
Cotton,251,Delta,Nile,Sandy,1.004,252.0
Maize,724,NewLands,Summer,Sandy,3.159,2287.1
Rice,308,North_Coast,Nile,Loamy,2.533,780.2
Potato,199,North_Coast,Winter,Loamy,15.621,3108.6
Wheat,254,Sinai,Winter,Loamy,2.342,594.9
Tomato,7,Delta,Nile,Sandy,14.087,98.6
Sugarcane,561,NewLands,Summer,Clay,41.175,23099.2
Maize,637,Delta,Summer,Sandy,2.123,1352.4
Potato,228,NewLands,Nile,Loamy,11.07,2524.0
Maize,780,North_Coast,Summer,Loamy,2.468,1925.0
Wheat,181,North_Coast,Winter,Clay,2.882,521.6
Wheat,62,Delta,Winter,Clay,3.309,205.2
Maize,638,Delta,Summer,Loamy,3.164,2018.6
Potato,261,Sinai,Winter,Sandy,10.358,2703.4
Wheat,190,North_Coast,Winter,Clay,3.378,641.8
Cotton,279,Delta,Summer,Calcareous,1.074,299.6
Rice,175,Delta,Summer,Loamy,3.924,686.7
Maize,692,NewLands,Summer,Clay,2.364,1635.9
Fava Beans,173,Upper_Egypt,Nile,Loamy,4.704,813.8
Tomato,4,Sinai,Winter,Loamy,13.822,55.3
Sugarcane,860,Upper_Egypt,Nile,Clay,53.033,45608.4
Tomato,143,North_Coast,Winter,Sandy,7.413,1060.1
Potato,40,Sinai,Winter,Loamy,10.723,428.9
Potato,65,North_Coast,Nile,Clay,10.861,706.0
Fava Beans,106,Delta,Winter,Sandy,4.056,429.9
Wheat,242,Upper_Egypt,Winter,Calcareous,1.607,388.9
Tomato,21,Sinai,Nile,Sandy,10.645,223.5
Wheat,317,NewLands,Winter,Clay,1.441,456.8
Rice,565,Delta,Nile,Clay,3.566,2014.8
Sugarcane,250,NewLands,Nile,Loamy,42.025,10506.2
Tomato,160,Upper_Egypt,Winter,Clay,10.217,1634.7
Maize,373,Delta,Summer,Clay,4.075,1520.0
Maize,892,Delta,Summer,Loamy,2.384,2126.5
Fava Beans,112,North_Coast,Winter,Clay,6.575,736.4
Sugarcane,118,Upper_Egypt,Nile,Clay,43.238,5102.1
Sugarcane,797,NewLands,Summer,Clay,42.017,33487.5
Potato,87,North_Coast,Winter,Loamy,10.765,936.6
Cotton,86,Upper_Egypt,Summer,Calcareous,0.989,85.1
Potato,286,North_Coast,Winter,Loamy,14.6,4175.6
Sugarcane,400,Upper_Egypt,Summer,Loamy,55.199,22079.6
Maize,734,NewLands,Summer,Clay,1.899,1393.9
Fava Beans,116,Upper_Egypt,Winter,Sandy,4.576,530.8
Wheat,177,Sinai,Winter,Loamy,0.909,160.9
Sugarcane,796,Upper_Egypt,Summer,Loamy,42.693,33983.6
Wheat,138,North_Coast,Winter,Loamy,2.328,321.3
Fava Beans,182,North_Coast,Nile,Sandy,3.025,550.6
Fava Beans,140,Delta,Nile,Sandy,5.486,768.0
Maize,539,Delta,Summer,Clay,3.168,1707.6
Tomato,158,North_Coast,Nile,Sandy,15.603,2465.3
Wheat,59,North_Coast,Winter,Sandy,1.806,106.6
Rice,495,Delta,Summer,Clay,3.519,1741.9
Rice,617,Delta,Nile,Loamy,3.752,2315.0
Maize,649,Upper_Egypt,Summer,Sandy,1.992,1292.8
Sugarcane,442,Upper_Egypt,Summer,Loamy,54.709,24181.4
Fava Beans,90,North_Coast,Winter,Clay,5.153,463.8
Wheat,122,Delta,Winter,Calcareous,1.84,224.5
Sugarcane,730,Upper_Egypt,Nile,Clay,42.81,31251.3
Fava Beans,193,Delta,Nile,Sandy,3.571,689.2
Fava Beans,122,Sinai,Winter,Clay,4.986,608.3
Potato,269,Sinai,Summer,Calcareous,8.302,2233.2
Fava Beans,50,North_Coast,Winter,Loamy,4.607,230.4
Rice,488,Delta,Summer,Loamy,3.584,1749.0
Fava Beans,42,Sinai,Winter,Sandy,4.896,205.6
Fava Beans,195,Upper_Egypt,Winter,Loamy,5.345,1042.3
Wheat,315,North_Coast,Winter,Sandy,2.427,764.5
Potato,298,North_Coast,Nile,Loamy,13.498,4022.4
Potato,240,Sinai,Nile,Clay,8.58,2059.2
Wheat,136,Delta,Winter,Clay,2.943,400.2
Potato,187,NewLands,Summer,Loamy,9.239,1727.7
Tomato,109,North_Coast,Summer,Sandy,11.364,1238.7
Potato,77,Delta,Nile,Loamy,10.271,790.9
Maize,370,Delta,Summer,Sandy,0.991,366.7
Sugarcane,334,Upper_Egypt,Summer,Clay,54.009,18039.0
Maize,319,Delta,Summer,Calcareous,3.535,1127.7
Potato,209,Delta,Winter,Loamy,13.297,2779.1
Sugarcane,850,Upper_Egypt,Summer,Clay,56.89,48356.5
Fava Beans,44,Upper_Egypt,Winter,Loamy,4.992,219.6
Fava Beans,152,Upper_Egypt,Winter,Sandy,4.229,642.8
Maize,335,North_Coast,Summer,Loamy,3.8676,1295.6
Potato,185,NewLands,Winter,Clay,9.844,1821.1
Cotton,30,Delta,Summer,Calcareous,0.745,22.4
Wheat,211,Delta,Winter,Clay,3.063,646.3
Maize,31,Upper_Egypt,Summer,Calcareous,2.927,90.7
Sugarcane,772,NewLands,Summer,Loamy,47.682,36810.5
Potato,260,NewLands,Winter,Clay,11.466,2981.2
Rice,288,Delta,Summer,Clay,3.091,890.2
Potato,105,NewLands,Nile,Loamy,10.413,1093.4
Potato,40,Delta,Winter,Sandy,10.336,413.4
Wheat,227,Upper_Egypt,Nile,Clay,2.676,607.5
Rice,757,Delta,Summer,Clay,4.077,3086.3
Tomato,101,Sinai,Winter,Clay,11.284,1139.7
Maize,221,Delta,Summer,Clay,4.123,911.2
Wheat,401,NewLands,Winter,Sandy,1.433,574.6
Sugarcane,51,Upper_Egypt,Summer,Loamy,51.03,2602.5
Sugarcane,440,Upper_Egypt,Summer,Loamy,51.125,22495.0
Cotton,116,NewLands,Summer,Sandy,1.12,129.9
Potato,105,NewLands,Winter,Sandy,9.964,1046.2
Wheat,405,Sinai,Winter,Loamy,2.321,940.0
Wheat,140,Delta,Winter,Loamy,2.827,395.8
Wheat,414,North_Coast,Winter,Calcareous,1.824,755.1
Fava Beans,10,Delta,Winter,Sandy,5.812,58.1
Tomato,21,Delta,Nile,Clay,9.133,191.8
Rice,82,Delta,Nile,Clay,4.347,356.5
Rice,375,Delta,Summer,Loamy,3.144,1179.0
Tomato,38,North_Coast,Nile,Clay,13.648,518.6
Maize,339,Upper_Egypt,Summer,Clay,3.657,1239.7
Potato,237,Delta,Winter,Clay,6.265,1484.8
Fava Beans,179,North_Coast,Winter,Sandy,5.269,943.2
Fava Beans,2,Sinai,Winter,Clay,2.614,5.2
Rice,583,Delta,Summer,Clay,4.134,2410.1
